Date/time,PM10 [ug/m3],PM2.5 [ug/m3],TEMP [C]
2021-05-01 05:20:00+02:00,72.9,47.26,6.0
2021-05-01 05:25:00+02:00,45.93,36.0,6.2
2021-05-01 05:30:00+02:00,44.05,32.78,6.3
2021-05-01 05:35:00+02:00,53.6,35.97,6.4
2021-05-01 05:40:00+02:00,32.78,23.13,6.4
2021-05-01 05:45:00+02:00,37.15,26.38,6.5
2021-05-01 05:50:00+02:00,65.11,50.47,6.5
2021-05-01 05:55:00+02:00,55.16,37.17,6.4
2021-05-01 06:00:00+02:00,52.27,39.24,6.3
2021-05-01 06:05:00+02:00,65.77,45.63,6.3
2021-05-01 06:10:00+02:00,36.72,31.63,6.3
2021-05-01 06:15:00+02:00,70.79,50.16,6.4
2021-05-01 06:20:00+02:00,58.75,42.34,6.4
2021-05-01 06:25:00+02:00,88.48,58.67,6.3
2021-05-01 06:30:00+02:00,75.58,54.81,6.3
2021-05-01 06:35:00+02:00,68.49,48.05,6.4
2021-05-01 06:40:00+02:00,57.9,41.77,6.3
2021-05-01 06:45:00+02:00,72.03,48.56,6.4
2021-05-01 06:50:00+02:00,54.28,40.93,6.4
2021-05-01 06:55:00+02:00,33.56,24.25,6.5
2021-05-01 07:00:00+02:00,68.83,45.16,6.6
